stratum,adm_state,state,trucktype,tabtrucks,bodytype,adm_modelyear,vius_gvw,miles_annl,miles_life,mpg,opclass,opclass_mtr,opclass_own,opclass_psl,opclass_pvt,opclass_rnt,transmssn,trip_primary,trip0_50,trip051_100,trip101_200,trip201_500,trip500more,adm_make,business
11,1,AL,1,3625.7683,1,10,3,21698,146509,-99,5,0,0,100,0,0,-99,7,-99,-99,-99,-99,-99,1,-99
11,1,AL,1,3625.7683,1,14,1,0,133475,-99,6,-99,-99,-99,-99,-99,2,8,-99,-99,-99,-99,-99,4,-99
11,1,AL,1,3625.7683,1,17,1,20000,200000,10,5,0,0,100,0,0,1,2,100,0,0,0,0,1,-99
11,1,AL,1,3625.7683,1,17,1,2000,150907,14,5,0,0,100,0,0,1,2,100,0,0,0,0,1,-99
11,1,AL,1,3625.7683,1,9,3,6250,50000,17.5,5,0,0,100,0,0,1,3,0,100,0,0,0,1,-99
11,1,AL,1,3625.7683,1,17,2,667,132134,-99,5,0,0,100,0,0,-99,7,-99,-99,-99,-99,-99,3,-99
11,1,AL,1,3625.7683,1,13,1,8515,109118,16,5,0,0,100,0,0,1,2,70,30,0,0,0,4,-99
11,1,AL,1,3625.7683,1,8,1,12900,125513,-99,5,0,0,100,0,0,2,7,-99,-99,-99,-99,-99,4,-99
11,1,AL,1,3625.7683,1,4,1,15000,63000,14,5,0,0,60,40,0,1,2,75,25,0,0,0,4,-99
11,1,AL,1,3625.7683,1,15,1,3000,98000,18,5,0,0,100,0,0,2,2,100,0,0,0,0,13,-99
11,1,AL,1,3625.7683,1,7,1,13000,90000,14,5,0,0,100,0,0,1,2,90,10,0,0,0,6,-99
11,1,AL,1,3625.7683,1,17,1,1000,130190,12,5,0,0,100,0,0,1,2,100,0,0,0,0,3,-99
11,1,AL,1,3625.7683,1,17,1,4781,149300,-99,5,0,0,100,0,0,1,2,100,0,0,0,0,6,-99
11,1,AL,1,3625.7683,1,2,1,15821,41592,12,1,0,0,10,90,0,1,2,80,20,0,0,0,1,6
11,1,AL,1,3625.7683,1,8,2,20000,179435,15,1,0,0,0,100,0,1,2,90,0,10,0,0,1,6
11,1,AL,1,3625.7683,1,8,1,15000,158000,22,5,0,0,100,0,0,2,2,80,10,5,5,0,6,-99
11,1,AL,1,3625.7683,1,17,1,0,152600,-99,6,-99,-99,-99,-99,-99,2,8,-99,-99,-99,-99,-99,1,-99
11,1,AL,1,3625.7683,1,9,1,16819,132644,-99,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,4,-99
11,1,AL,1,3625.7683,1,12,1,3000,30000,20,5,0,0,100,0,0,-99,2,60,10,5,15,10,1,-99
11,1,AL,1,3625.7683,1,6,1,10127,66153,17.5,5,0,0,100,0,0,1,2,85,10,5,0,0,4,-99
11,1,AL,1,3625.7683,1,10,1,15000,152000,15,5,0,0,100,0,0,1,2,95,5,0,0,0,6,-99
11,1,AL,1,3625.7683,1,6,1,100000,333054,17,1,0,0,0,100,0,1,2,50,50,0,0,0,1,8
11,1,AL,1,3625.7683,1,16,1,2023,176023,20,5,0,0,100,0,0,2,2,100,0,0,0,0,18,-99
11,1,AL,1,3625.7683,1,6,1,18882,169441,20,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,1,-99
11,1,AL,1,3625.7683,1,17,1,1000,110000,15,5,0,0,100,0,0,1,2,100,0,0,0,0,1,-99
11,1,AL,1,3625.7683,1,1,1,300,36000,22,5,0,0,100,0,0,2,2,70,10,10,5,5,18,-99
11,1,AL,1,3625.7683,1,8,2,2000,33887,12,1,0,0,50,50,0,1,2,90,10,0,0,0,1,3
11,1,AL,1,3625.7683,1,17,1,7333,129267,-99,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,4,-99
11,1,AL,1,3625.7683,1,7,2,10000,99518,14.5,5,0,0,100,0,0,1,2,100,0,0,0,0,1,-99
11,1,AL,1,3625.7683,1,17,1,0,149300,-99,6,-99,-99,-99,-99,-99,1,8,-99,-99,-99,-99,-99,4,-99
11,1,AL,1,3625.7683,1,9,1,20000,120000,16.1,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,3,-99
11,1,AL,1,3625.7683,1,5,1,17240,84347,-99,5,0,0,100,0,0,-99,7,-99,-99,-99,-99,-99,3,-99
11,1,AL,1,3625.7683,1,15,2,1000,151510,16,5,0,0,100,0,0,2,2,100,0,0,0,0,4,-99
11,1,AL,1,3625.7683,1,17,1,0,133205,-99,6,-99,-99,-99,-99,-99,1,8,-99,-99,-99,-99,-99,1,-99
11,1,AL,1,3625.7683,1,17,1,20,155000,9,5,0,0,100,0,0,1,2,100,0,0,0,0,3,-99
11,1,AL,1,3625.7683,1,4,1,75000,120005,25,5,0,0,100,0,0,2,2,90,0,0,5,5,4,-99
11,1,AL,1,3625.7683,1,12,1,5000,95000,16.8,1,0,0,0,100,0,1,3,5,90,5,0,0,3,3
11,1,AL,1,3625.7683,1,17,1,0,146815,-99,6,-99,-99,-99,-99,-99,1,8,-99,-99,-99,-99,-99,1,-99
11,1,AL,1,3625.7683,1,17,1,2667,132134,-99,5,0,0,100,0,0,-99,7,-99,-99,-99,-99,-99,1,-99
11,1,AL,1,3625.7683,1,3,1,0,48715,-99,6,-99,-99,-99,-99,-99,2,8,-99,-99,-99,-99,-99,3,-99
11,1,AL,1,3625.7683,1,6,1,15000,112411,20,5,0,0,100,0,0,1,2,80,10,10,0,0,6,-99
11,1,AL,1,3625.7683,1,3,1,1000,4000,20,5,0,0,100,0,0,1,2,98,1,0,0,1,4,-99
11,1,AL,1,3625.7683,1,17,1,3333,132134,-99,6,-99,-99,-99,-99,-99,1,8,-99,-99,-99,-99,-99,1,-99
11,1,AL,1,3625.7683,1,4,1,19000,71500,17,5,0,0,100,0,0,1,2,70,0,0,0,30,1,-99
11,1,AL,1,3625.7683,1,11,1,10000,155966,18,5,0,0,90,10,0,2,2,90,5,4,0,0,18,-99
11,1,AL,1,3625.7683,1,5,1,15000,51400,23,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,15,-99
11,1,AL,1,3625.7683,1,14,1,9000,128812,18.5,5,0,0,80,20,0,2,5,0,0,0,100,0,4,-99
11,1,AL,1,3625.7683,1,10,2,7000,120529,14,5,0,0,100,0,0,1,2,90,10,0,0,0,4,-99
11,1,AL,1,3625.7683,1,6,1,37721,130440,18,1,0,0,0,100,0,1,3,50,50,0,0,0,4,6
11,1,AL,1,3625.7683,1,12,1,13553,147705,-99,5,0,0,100,0,0,-99,7,-99,-99,-99,-99,-99,1,-99
11,1,AL,1,3625.7683,1,11,2,1000,145578,12,1,0,0,0,100,0,1,2,100,0,0,0,0,4,-99
11,1,AL,1,3625.7683,1,17,2,2000,100000,10,1,0,0,0,100,0,1,2,50,0,0,0,0,6,3
11,1,AL,1,3625.7683,1,3,1,12000,37000,24,5,0,0,100,0,0,2,7,-99,-99,-99,-99,-99,15,-99
11,1,AL,1,3625.7683,1,2,1,15000,24000,18,5,0,0,100,0,0,1,2,80,10,5,5,0,1,-99
11,1,AL,1,3625.7683,1,13,1,5000,109118,15,5,0,0,100,0,0,1,3,0,100,0,0,0,3,-99
11,1,AL,1,3625.7683,1,6,3,60000,99249,20,1,0,0,0,100,0,2,6,0,0,0,0,100,3,9
11,1,AL,1,3625.7683,1,13,1,50000,109118,21.5,1,0,0,0,100,0,2,2,100,0,0,0,0,4,3
11,1,AL,1,3625.7683,1,3,1,23104,83104,21,5,0,0,100,0,0,1,4,0,0,99,1,0,6,-99
11,1,AL,1,3625.7683,1,9,3,10000,175000,17,5,0,0,100,0,0,2,3,25,75,0,0,0,1,-99
11,1,AL,1,3625.7683,1,9,1,9000,116500,19,5,0,0,100,0,0,1,2,90,0,10,0,0,6,-99
11,1,AL,1,3625.7683,1,17,1,2500,138601,5,5,0,0,100,0,0,1,2,100,0,0,0,0,3,-99
11,1,AL,1,3625.7683,1,10,2,12500,161245,-99,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,4,-99
11,1,AL,1,3625.7683,1,4,1,5000,21000,16,1,0,0,0,100,0,1,2,95,5,0,0,0,4,14
11,1,AL,1,3625.7683,1,1,2,23000,146000,14,1,0,0,10,90,0,1,2,50,30,10,5,0,1,9
11,1,AL,1,3625.7683,1,17,1,1000,105200,12,5,0,0,100,0,0,1,2,100,0,0,0,0,1,-99
11,1,AL,1,3625.7683,1,9,1,14000,235000,15,5,0,0,100,0,0,1,2,60,20,20,0,0,1,-99
11,1,AL,1,3625.7683,1,2,1,9000,12000,16,5,0,0,100,0,0,1,2,100,0,0,0,0,3,-99
11,1,AL,1,3625.7683,1,6,1,17309,99249,-99,5,0,0,100,0,0,-99,7,-99,-99,-99,-99,-99,4,-99
11,1,AL,1,3625.7683,1,9,1,12000,128000,14,5,0,0,95,5,0,1,2,85,5,0,0,0,4,-99
11,1,AL,1,3625.7683,1,2,1,12000,23067,17.6,5,0,0,100,0,0,1,2,100,0,0,0,0,4,-99
11,1,AL,1,3625.7683,1,3,1,20000,48715,17,5,0,0,100,0,0,1,2,100,0,0,0,0,4,-99
11,1,AL,1,3625.7683,1,4,1,12000,46000,18.9,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,1,-99
11,1,AL,1,3625.7683,1,9,1,14205,144205,15,1,0,0,0,100,0,2,2,100,0,0,0,0,1,6
11,1,AL,1,3625.7683,1,10,1,31000,170000,21,5,0,0,100,0,0,1,2,100,0,0,0,0,1,-99
11,1,AL,1,3625.7683,1,16,1,8000,105000,14,5,0,0,100,0,0,1,2,100,0,0,0,0,4,-99
11,1,AL,1,3625.7683,1,9,1,15000,18910,-99,5,0,0,100,0,0,1,2,50,50,0,0,0,1,-99
11,1,AL,1,3625.7683,1,7,1,17442,127000,16.5,5,0,0,100,0,0,1,2,98,2,0,0,0,1,-99
11,1,AL,1,3625.7683,1,5,1,13000,54500,25,5,0,0,100,0,0,2,2,65,20,12,0,3,6,-99
11,1,AL,1,3625.7683,1,11,2,12293,145578,-99,5,0,0,100,0,0,-99,7,-99,-99,-99,-99,-99,1,-99
11,1,AL,1,3625.7683,1,12,1,10000,211000,20,5,0,0,100,0,0,2,3,0,100,0,0,0,4,-99
11,1,AL,1,3625.7683,1,14,1,8988,195899,20,5,0,0,100,0,0,1,2,100,0,0,0,0,4,-99
11,1,AL,1,3625.7683,1,4,3,18761,110000,20,5,0,0,100,0,0,2,2,100,0,0,0,0,4,-99
11,1,AL,1,3625.7683,1,2,1,20637,28000,14,5,0,0,100,0,0,1,2,90,0,0,5,0,4,-99
11,1,AL,1,3625.7683,1,3,1,20000,68000,20,5,0,0,100,0,0,1,3,0,95,0,0,5,6,-99
11,1,AL,1,3625.7683,1,9,1,14400,118542,26,5,0,0,100,0,0,2,2,99,0,1,0,0,4,-99
11,1,AL,1,3625.7683,1,17,2,100,150424,15,5,0,0,100,0,0,2,7,-99,-99,-99,-99,-99,1,-99
11,1,AL,1,3625.7683,1,12,1,17500,215375,23,5,0,0,100,0,0,2,2,90,7,2,1,0,15,-99
11,1,AL,1,3625.7683,1,17,1,5967,95478,22.4,5,0,0,95,5,0,1,2,90,0,0,0,0,18,-99
11,1,AL,1,3625.7683,1,17,3,4686,103845,10,1,0,0,0,100,0,2,2,65,0,5,0,0,4,3
11,1,AL,1,3625.7683,1,17,1,0,133205,-99,6,-99,-99,-99,-99,-99,2,8,-99,-99,-99,-99,-99,1,-99
11,1,AL,1,3625.7683,1,16,1,6000,208000,14,5,0,0,100,0,0,2,2,65,23,2,0,0,4,-99
11,1,AL,1,3625.7683,1,17,1,7750,140190,-99,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,4,-99
11,1,AL,1,3625.7683,1,3,2,18625,48715,-99,5,0,0,100,0,0,-99,7,-99,-99,-99,-99,-99,15,-99
11,1,AL,1,3625.7683,1,5,1,17240,84347,-99,5,0,0,100,0,0,1,3,0,80,20,0,0,1,-99
11,1,AL,1,3625.7683,1,2,2,26000,62421,15,5,0,0,100,0,0,1,3,0,100,0,0,0,3,-99
11,1,AL,1,3625.7683,1,6,1,6000,45000,15,5,0,0,100,0,0,1,2,80,10,5,5,0,4,-99
11,1,AL,1,3625.7683,1,17,1,4000,190124,15.1,5,0,0,100,0,0,1,2,80,5,5,0,0,4,-99
11,1,AL,1,3625.7683,1,11,1,10244,145578,-99,6,-99,-99,-99,-99,-99,-99,8,-99,-99,-99,-99,-99,1,-99
11,1,AL,1,3625.7683,1,17,1,3500,219500,13,1,0,0,20,80,0,1,2,100,0,0,0,0,1,6
11,1,AL,1,3625.7683,1,5,3,12000,106000,17,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,3,-99
11,1,AL,1,3625.7683,1,17,1,1000,146867,-99,5,0,0,100,0,0,1,2,100,0,0,0,0,1,-99
11,1,AL,1,3625.7683,1,4,2,15000,54000,16,5,0,0,100,0,0,1,2,50,40,0,10,0,1,-99
11,1,AL,1,3625.7683,1,17,1,6406,138601,-99,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,6,-99
11,1,AL,1,3625.7683,1,3,1,30000,80000,25,1,0,0,0,100,0,1,2,80,0,0,0,0,1,3
11,1,AL,1,3625.7683,1,10,1,18225,177831,17,1,0,0,20,80,0,1,2,80,15,5,0,0,1,7
11,1,AL,1,3625.7683,1,17,1,2875,66671,14.1,5,0,0,100,0,0,1,3,0,100,0,0,0,1,-99
11,1,AL,1,3625.7683,1,11,2,10000,145578,25.9,5,0,0,90,10,0,1,2,40,10,30,10,0,1,-99
11,1,AL,1,3625.7683,1,6,1,12000,94000,22,5,0,0,100,0,0,2,2,50,45,0,0,0,4,-99
11,1,AL,1,3625.7683,1,17,1,2000,133205,15,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,1,-99
11,1,AL,1,3625.7683,1,6,2,10000,68000,15.3,1,0,0,0,100,0,1,3,0,100,0,0,0,4,7
11,1,AL,1,3625.7683,1,17,1,240,150424,-99,5,0,0,100,0,0,-99,7,-99,-99,-99,-99,-99,4,-99
11,1,AL,1,3625.7683,1,17,1,6406,128000,-99,5,0,0,100,0,0,1,2,100,0,0,0,0,4,-99
11,1,AL,1,3625.7683,1,3,1,8000,17000,15,5,0,0,100,0,0,1,2,90,0,0,10,0,18,-99
11,1,AL,1,3625.7683,1,9,1,12000,176000,15,5,0,0,100,0,0,2,2,100,0,0,0,0,15,-99
11,1,AL,1,3625.7683,1,16,2,9000,240000,24.9,5,0,0,99,1,0,2,2,59,1,0,0,0,9,-99
11,1,AL,1,3625.7683,1,7,2,10000,63000,21.5,5,0,0,100,0,0,2,2,100,0,0,0,0,3,-99
11,1,AL,1,3625.7683,1,11,1,12000,87000,17,5,0,0,100,0,0,1,2,80,15,0,5,0,1,-99
11,1,AL,1,3625.7683,1,1,2,20000,20000,16,5,0,0,100,0,0,1,2,80,5,5,5,5,1,-99
11,1,AL,1,3625.7683,1,13,1,4000,90384,20,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,4,-99
11,1,AL,1,3625.7683,1,6,1,31721,161721,16.5,1,0,0,10,90,0,1,2,50,35,0,0,0,6,3
11,1,AL,1,3625.7683,1,17,1,10000,55000,10,5,0,0,100,0,0,1,2,100,0,0,0,0,4,-99
11,1,AL,1,3625.7683,1,17,2,500,178325,13,5,0,0,100,0,0,2,3,30,70,0,0,0,1,-99
11,1,AL,1,3625.7683,1,2,1,30800,56450,16.2,1,0,0,0,100,0,1,3,20,77,1,0,0,18,4
11,1,AL,1,3625.7683,1,14,2,10000,133475,11,5,0,0,50,50,0,1,2,75,0,0,0,0,4,-99
11,1,AL,1,3625.7683,1,17,1,0,152600,-99,6,-99,-99,-99,-99,-99,2,8,-99,-99,-99,-99,-99,1,-99
11,1,AL,1,3625.7683,1,3,1,48000,80000,-99,1,0,0,0,100,0,1,7,-99,-99,-99,-99,-99,1,9
11,1,AL,1,3625.7683,1,3,1,18625,32000,19,5,0,0,100,0,0,2,3,0,100,0,0,0,4,-99
11,1,AL,1,3625.7683,1,17,2,22000,247000,10,5,0,0,100,0,0,1,2,95,0,0,0,0,6,-99
11,1,AL,1,3625.7683,1,16,1,15000,149698,15,5,0,0,100,0,0,2,2,50,40,5,0,0,4,-99
11,1,AL,1,3625.7683,1,6,1,12500,135000,21,5,0,0,100,0,0,1,2,70,20,5,5,0,1,-99
11,1,AL,1,3625.7683,1,3,1,30000,53000,20,5,0,0,100,0,0,1,2,100,0,0,0,0,1,-99
11,1,AL,1,3625.7683,1,2,2,20000,45000,14,5,0,0,60,40,0,1,2,90,4,3,2,1,4,-99
11,1,AL,1,3625.7683,1,3,1,18625,48715,-99,5,0,0,100,0,0,-99,7,-99,-99,-99,-99,-99,6,-99
11,1,AL,1,3625.7683,1,17,1,0,150424,-99,6,-99,-99,-99,-99,-99,-99,8,-99,-99,-99,-99,-99,6,-99
11,1,AL,1,3625.7683,1,17,1,3000,150000,20.9,5,0,0,100,0,0,2,2,90,10,0,0,0,1,-99
11,1,AL,1,3625.7683,1,17,1,0,152600,-99,6,-99,-99,-99,-99,-99,2,8,-99,-99,-99,-99,-99,6,-99
11,1,AL,1,3625.7683,1,14,1,4000,133475,18.4,5,0,0,100,0,0,1,2,100,0,0,0,0,1,-99
11,1,AL,1,3625.7683,1,13,1,14000,128000,14.2,5,0,0,100,0,0,1,3,0,80,0,20,0,6,-99
11,1,AL,1,3625.7683,1,11,1,18000,145578,18.5,5,0,0,100,0,0,1,3,0,100,0,0,0,1,-99
11,1,AL,1,3625.7683,1,17,1,6000,200000,10,5,0,0,100,0,0,1,2,100,0,0,0,0,6,-99
11,1,AL,1,3625.7683,1,17,1,958,150424,-99,5,0,0,100,0,0,-99,7,-99,-99,-99,-99,-99,6,-99
11,1,AL,1,3625.7683,1,9,1,8000,130000,-99,5,0,0,100,0,0,2,3,0,50,50,0,0,4,-99
11,1,AL,1,3625.7683,1,13,1,15000,109118,21,5,0,0,100,0,0,2,3,0,100,0,0,0,1,-99
11,1,AL,1,3625.7683,1,9,3,15000,109000,19,5,0,10,90,0,0,1,2,60,0,34,0,5,1,-99
11,1,AL,1,3625.7683,1,17,1,0,129267,-99,6,-99,-99,-99,-99,-99,1,8,-99,-99,-99,-99,-99,1,-99
11,1,AL,1,3625.7683,1,5,1,29747,80747,16,5,0,0,100,0,0,1,2,70,0,30,0,0,1,-99
11,1,AL,1,3625.7683,1,7,1,20000,104875,15.5,5,0,0,100,0,0,2,2,100,0,0,0,0,4,-99
11,1,AL,1,3625.7683,1,3,1,15000,15000,11,5,0,0,100,0,0,1,2,40,35,0,0,0,18,-99
11,1,AL,1,3625.7683,1,3,1,18000,75000,21,5,0,0,90,10,0,2,2,90,10,0,0,0,4,-99
11,1,AL,1,3625.7683,1,12,1,13553,147705,-99,5,0,0,100,0,0,-99,7,-99,-99,-99,-99,-99,4,-99
11,1,AL,1,3625.7683,1,17,1,1000,65000,13,5,0,0,100,0,0,2,2,75,0,0,0,0,1,-99
11,1,AL,1,3625.7683,1,14,2,600,226385,-99,5,0,0,100,0,0,1,3,50,50,0,0,0,6,-99
11,1,AL,1,3625.7683,1,17,1,1000,146330,12.9,5,0,0,100,0,0,1,7,-99,-99,-99,-99,-99,1,-99
11,1,AL,1,3625.7683,1,17,2,958,150424,-99,5,0,0,100,0,0,-99,7,-99,-99,-99,-99,-99,4,-99
11,1,AL,1,3625.7683,1,8,1,5000,66000,15,5,0,0,100,0,0,1,3,0,100,0,0,0,3,-99
11,1,AL,1,3625.7683,1,15,2,3000,110603,8.9,5,0,0,100,0,0,2,2,100,0,0,0,0,4,-99
11,1,AL,1,3625.7683,1,17,3,6000,138797,12,5,0,0,98,2,0,2,2,98,0,0,2,0,4,-99
11,1,AL,1,3625.7683,1,2,1,11020,34283,13.1,5,0,0,100,0,0,1,4,0,0,100,0,0,3,-99
11,1,AL,1,3625.7683,1,17,1,1000,149300,-99,5,0,0,100,0,0,2,7,-99,-99,-99,-99,-99,1,-99
11,1,AL,1,3625.7683,1,4,3,18300,76985,16,5,0,0,55,45,0,1,5,10,10,20,40,20,4,-99
11,1,AL,1,3625.7683,1,4,1,18127,89000,10,5,0,0,95,5,0,1,2,68,20,10,1,0,4,-99
11,1,AL,1,3625.7683,1,6,1,28182,94807,18.2,5,0,0,100,0,0,1,2,95,5,0,0,0,1,-99
11,1,AL,1,3625.7683,1,17,1,4000,125000,16,5,0,0,100,0,0,1,2,100,0,0,0,0,1,-99
11,1,AL,1,3625.7683,1,1,1,12330,30841,-99,5,0,0,100,0,0,1,2,100,0,0,0,0,4,-99
11,1,AL,1,3625.7683,1,17,1,0,138601,-99,6,-99,-99,-99,-99,-99,1,8,-99,-99,-99,-99,-99,6,-99
11,1,AL,1,3625.7683,1,8,1,5000,93000,13.8,5,0,0,100,0,0,1,2,100,0,0,0,0,4,-99
11,1,AL,1,3625.7683,1,11,1,1000,122000,17,5,0,0,100,0,0,1,2,100,0,0,0,0,6,-99
11,1,AL,1,3625.7683,1,7,2,4000,74156,21,5,0,0,100,0,0,1,2,100,0,0,0,0,4,-99
11,1,AL,1,3625.7683,1,17,1,39000,67000,20,5,0,0,100,0,0,1,2,80,0,0,20,0,18,-99
11,1,AL,1,3625.7683,1,2,1,15821,34283,-99,5,0,0,100,0,0,1,2,75,25,0,0,0,3,-99
11,1,AL,1,3625.7683,1,5,1,11000,52000,14.5,5,0,0,100,0,0,1,2,80,20,0,0,0,3,-99
11,1,AL,1,3625.7683,1,5,2,2000,36014,13,5,0,0,100,0,0,1,2,95,5,0,0,0,15,-99
11,1,AL,1,3625.7683,1,12,2,3500,65000,20,5,0,0,100,0,0,1,2,100,0,0,0,0,3,-99
11,1,AL,1,3625.7683,1,4,1,12944,78127,14,5,0,0,100,0,0,1,2,100,0,0,0,0,3,-99
11,1,AL,1,3625.7683,1,2,1,20000,45000,19,5,0,0,100,0,0,1,2,95,0,5,0,0,1,-99
11,1,AL,1,3625.7683,1,10,1,15000,95838,18.5,5,0,0,100,0,0,1,2,95,0,5,0,0,3,-99
11,1,AL,1,3625.7683,1,7,2,6000,67000,20,5,0,0,100,0,0,1,2,100,0,0,0,0,1,-99
11,1,AL,1,3625.7683,1,4,1,9690,60000,18,5,0,0,100,0,0,1,2,100,0,0,0,0,4,-99
11,1,AL,1,3625.7683,1,9,2,30000,105334,17,5,0,0,100,0,0,1,3,5,95,0,0,0,3,-99
11,1,AL,1,3625.7683,1,4,1,20000,104000,17,1,0,0,0,100,0,2,2,95,0,0,0,5,18,-99
11,1,AL,1,3625.7683,1,11,1,10000,132000,22,5,0,0,100,0,0,2,4,30,0,62,0,0,1,-99
11,1,AL,1,3625.7683,1,11,1,12000,183000,20,5,0,0,100,0,0,1,2,100,0,0,0,0,3,-99
11,1,AL,1,3625.7683,1,3,1,12500,43500,16,1,0,0,46,54,0,1,2,95,4,1,0,0,4,3
11,1,AL,1,3625.7683,1,14,2,8000,235000,15.9,5,0,0,100,0,0,1,2,55,40,0,0,0,1,-99
11,1,AL,1,3625.7683,1,7,2,9719,88625,19,1,0,0,0,100,0,1,2,50,50,0,0,0,1,5
11,1,AL,1,3625.7683,1,14,1,10786,133475,-99,5,0,0,100,0,0,2,7,-99,-99,-99,-99,-99,13,-99
11,1,AL,1,3625.7683,1,8,3,5000,87000,-99,1,0,0,0,100,0,1,2,80,0,0,0,0,6,3
11,1,AL,1,3625.7683,1,17,1,8000,132134,-99,5,0,0,100,0,0,2,4,0,0,100,0,0,4,-99
11,1,AL,1,3625.7683,1,14,2,10786,133475,-99,5,0,0,100,0,0,1,2,50,0,0,0,0,3,-99
11,1,AL,1,3625.7683,1,6,1,8000,42000,16,5,0,0,100,0,0,1,4,0,0,100,0,0,4,-99
11,1,AL,1,3625.7683,1,9,1,15000,83020,12,1,0,0,8,92,0,2,2,90,10,0,0,0,4,12
11,1,AL,1,3625.7683,1,8,1,800,92000,16,5,0,0,100,0,0,2,2,100,0,0,0,0,4,-99
11,1,AL,1,3625.7683,1,6,1,15000,85000,17.5,5,0,0,100,0,0,1,2,90,5,3,2,0,6,-99
11,1,AL,1,3625.7683,1,8,1,50000,125513,20,1,0,0,0,100,0,1,3,5,95,0,0,0,15,9
11,1,AL,1,3625.7683,1,13,1,9000,189000,17,5,0,0,100,0,0,2,2,90,10,0,0,0,15,-99
11,1,AL,1,3625.7683,1,6,1,15000,80000,17,5,0,0,100,0,0,1,2,50,40,9,0,0,3,-99
11,1,AL,1,3625.7683,1,9,2,12803,122000,16,5,0,0,100,0,0,2,2,100,0,0,0,0,1,-99
11,1,AL,1,3625.7683,1,16,1,4000,99000,21,5,0,0,100,0,0,2,2,100,0,0,0,0,4,-99
